"id","hsncode","name","gst_tax_ids:id"
"09022010","09022010","Green tea in packets with contents exceeding 3 Kg but not excedding 20 Kg","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09022020","09022020","Green Tea in bulk","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041100","09041100","Pepper neither crushed nor ground","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041110","09041110","Pepper, long","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041120","09041120","Light black pepper","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041130","09041130","Black pepper, grabled","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041140","09041140","Black pepper ungarbled","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041150","09041150","Green pepper, dehydrated","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041160","09041160","Pepper pinheads","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041170","09041170","Green pepper, frozen or dried","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041180","09041180","Pepper other than green, forzen","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09041200","09041200","Pepper - Crushed or ground","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09042000","09042000","Fruits of the genus capsicum (peppers) or of the genus pimenta (eg, allspice), dried or crushed or ground","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09042010","09042010","Dried chillies","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09042020","09042020","Chilly powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09042030","09042030","Fruits of the genus capsicum","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09050000","09050000","Vanilla","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09050010","09050010","Vanilla beans","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09050020","09050020","Vanilla powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09060000","09060000","Cinnamon and cinnamon-tree flowers","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09083000","09083000","Cardamoms","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09090000","09090000","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries other than seed quality","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09101000","09101000","Ginger fresh","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"09101020","09101020","Ginger Dried unbleached","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09101030","09101030","Ginger Dried Bleached","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09101040","09101040","Ginger Powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09101090","09101090","Ginger, saffron, tumeric, thyme, bay leaves etc: Other","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09102000","09102000","Saffron","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09102010","09102010","Safdfron stigma","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09102020","09102020","Saffron stamen","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09103010","09103010","Turmeric (curcuma) -fresh","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"09103020","09103020","Turmeric dried","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09103030","09103030","Turmeric powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09104000","09104000","Thyme; bay leaves","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09109922","09109922","Cumin powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09109923","09109923","Celery powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09109924","09109924","Fenugreek powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09109925","09109925","Dill powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09109926","09109926","Poppy powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"09109927","09109927","Mustard powder","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"10040000","10040000","Oats","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"10050000","10050000","Corn (maize)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"10060000","10060000","Rice","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"10061000","10061000","Rice in the husk ( rough)","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"10062000","10062000","Husked (brown) rice:","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"10063000","10063000","Semi-milled or wholly milled rice, whether or not polished or glazed: parboiled:","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"10064000","10064000","Broken rice","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"11010000","11010000","Wheat flour or meslin flour","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"11020000","11020000","Cereal flours other than wheat or meslin i.e. maixe (corn) flour, Rye flour etc.,","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"11021000","11021000","Rye flour","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"11023000","11023000","Rice flour","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"12030000","12030000","Copra","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"12060000","12060000","Sunflower seeds, whether or not broken : of seed quality","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"12060000","12060000","Sunflower seeds, whether or not broken : other than of seed quality","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"12060010","12060010","Sunflower oil seeds","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"12079110","12079110","Poppy seeds: of seed quality","GSTO0,GSTI0,IGSTO0,IGSTI0,UGSTO0,UGSTI0"
"15070000","15070000","Soya-bean oil and its fraction whether or not refined, but not chemically modified.","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15071000","15071000","Soya bean oil (crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15079010","15079010","Soya bean oil and its fractions (other than crude):","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15079010","15079010","Soyabean oil (Edible oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15079090","15079090","Soyabean oil (Vegetable oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
